Award/Scholarship Name,Field/Category,Award Type,Organization/Institution,Award Amount,Renewable,Number of Awards,Eligibility,Academic Requirement,Geographic Requirement,Financial Need-Based,Special Interest/Skills,Application Deadline,Application Requirements,Application Link/Instructions,Supporting Documents,Contact Information,Website,Usage Restrictions,Payment Method,Renewal Requirements
TechGirls Canada Youth Award,Technology,Award,TechGirls Canada,Varies,No,Varies,Female students in STEM fields,Interest in technology,Canada,No,STEM,Varies,Application form,techgirls.ca,Transcript,info@techgirls.ca,https://techgirls.ca/,Tuition,Direct to institution,N/A
BC School Sports Scholarships,Sports,Scholarship,BC School Sports,Varies,No,Varies,Student-athletes in BC,Good academic standing,BC,No,Sports,Varies,"Application form, transcript",bcschoolsports.ca,Transcript,info@bcschoolsports.ca,https://www.bcschoolsports.ca/awards/scholarships,Tuition,Direct to institution,N/A
Premier’s Awards for Indigenous Youth Excellence in Sport,Indigenous Youth in Sports,Award,Government of BC,Varies,No,Varies,Indigenous youth athletes in BC,Good academic standing,BC,No,Sports,Varies,"Application form, essay",gov.bc.ca,Essay,info@gov.bc.ca,https://www2.gov.bc.ca/gov/content/governments/indigenous-people/aboriginal-sport/premiers-awards,Varies,Direct to institution,N/A
Rick Hansen Foundation School Program Scholarships,Accessibility,Scholarship,Rick Hansen Foundation,Varies,No,Varies,Students demonstrating a commitment to accessibility,N/A,BC,No,Accessibility,Varies,"Application form, commitment to accessibility",rickhansen.com,Commitment to accessibility documentation,info@rickhansen.com,https://www.rickhansen.com/schools/scholarship,Varies,Direct to institution,N/A
KidSport BC Scholarships,Sports,Scholarship,KidSport BC,Varies,No,Varies,Students needing financial assistance for sports,N/A,BC,Yes,Sports,Varies,"Application form, proof of financial need",kidsportcanada.ca,Proof of financial need,info@kidsportcanada.ca,https://kidsportcanada.ca/british-columbia/,Sports registration fees,Direct to organization,N/A
BC Study Abroad Scholarships,Study Abroad,Scholarship,BC Study Abroad Consortium,"$500 - $1,000",No,Varies,BC students in short-term study abroad programs,Good academic standing,BC,No,"Study Abroad, Blogging",11-Oct-24,"Transcript, blog posts, photos",bcstudyabroad.ca,"Blog posts, photos",info@bcstudyabroad.ca,https://www.bcstudyabroad.ca/scholarships,Study abroad expenses,Direct to student,N/A
One World International Scholarship,International,Scholarship,BC Scholarship Society,"$2,000 - $5,000",No,Varies,BC students pursuing post-secondary abroad (outside Canada and US),Community/school involvement,BC,No,Community Involvement,Varies,"Transcript, essay, community involvement",bcscholarshipsociety.ca,"Transcript, essay",info@bcscholarshipsociety.ca,https://victoriafoundation.bc.ca/grants-funding/scholarships-student-awards/one-world-international-scholarship/,"Tuition, living expenses",Direct to institution,N/A
Premier’s International Scholarship,International,Scholarship,BC Scholarship Society,"$8,000 - $12,000",No,Varies,BC students pursuing study abroad outside Canada/US with a 3.0 GPA,3.0 GPA minimum,BC,No,Study Abroad,Varies,"Transcript, career goals, 3.0 GPA",bcscholarshipsociety.ca,"Transcript, career goals",info@bcscholarshipsociety.ca,https://www2.gov.bc.ca/gov/content/education-training/post-secondary-education/international-education/scholarships/premiers-international-scholarships,Study abroad expenses,Direct to institution,N/A
P.E.O. International Peace Scholarship,Graduate Education,Scholarship,P.E.O. International,"Up to $12,500",No,Varies,International female students pursuing graduate education in the US,Good academic standing,International,Yes,Graduate Studies,Varies,"Application form, proof of financial need",peointernational.org,Proof of financial need,info@peointernational.org,https://www.peointernational.org/about-peo-international-peace-scholarship-ips,"Tuition, living expenses",Direct to institution,N/A
Aga Khan Foundation International Scholarship,Graduate Education,Scholarship/Loan,Aga Khan Foundation,"50% grant, 50% loan",No,Varies,Students from developing countries pursuing postgraduate study,Outstanding academic performance,Developing countries,Yes,Postgraduate Studies,Varies,"Application form, financial need documentation",akdn.org,Financial need documentation,info@akdn.org,https://www.akdn.org/our-agencies/aga-khan-foundation/international-scholarship-programme,Postgraduate study expenses,Direct to institution,N/A
Next Gen Scholarship,International,Grant,Next Gen Foundation,"$1,000+",No,Varies,"Students studying in Maryland, Washington, or Virginia",3.0 GPA,"Maryland, Washington, or Virginia",No,None,Varies,"Application form, 3.0 GPA",timeshighereducation.com,"Transcript, GPA",info@nextgen.com,https://www.timeshighereducation.com/student/scholarships/next-gen-scholarship,Tuition,Direct to student,N/A
Canada-China Scholars' Exchange Program,Study/Research,Scholarship,Global Affairs Canada,Varies,No,Varies,Canadian students pursuing academic study or research in China,Good academic standing,Canada,No,Research/Chinese Language,Varies,Academic transcript,educanada.ca,Transcript,info@educanada.ca,https://www.educanada.ca/scholarships-bourses/can/ccsep-peucc.aspx?lang=eng,Academic study in China,Direct to institution,N/A
Global Korea Scholarship for Graduate Degrees,Graduate Studies,Scholarship,National Institute for International Education (Korea),Varies,No,Varies,Canadian students pursuing Master's or PhD in Korea,Good academic standing,Canada,No,"STEM, Humanities",Varies,"Transcript, research proposal",educanada.ca,"Research proposal, transcript",info@educanada.ca,https://www.studyinkorea.go.kr/en/sub/gks/allnew_invite.do,Master's or PhD expenses in Korea,Direct to institution,N/A
Harvard University Need-Based Aid,Need-Based Aid,Scholarship,Harvard University,"Up to $70,000/year",Yes,Varies,International students based on need,Good academic standing,International,Yes,None,Varies,"CSS Profile, income tax forms/wage statements",harvard.edu,Financial documents,info@harvard.edu,https://college.harvard.edu/financial-aid,Tuition and living expenses,Direct to institution,Maintain good standing
Yale University Need-Based Aid,Need-Based Aid,Scholarship,Yale University,"Up to $70,000/year",Yes,Varies,International students based on need,Good academic standing,International,Yes,None,Varies,"CSS Profile, financial documentation",yale.edu,Financial documents,info@yale.edu,https://finaid.yale.edu/costs-affordability/affordability,Tuition and living expenses,Direct to institution,Maintain good standing
Berea College Full Funding,Full Funding,Scholarship,Berea College,"Full tuition, room, and board",Yes,Varies,International students demonstrating financial need,Good academic standing,International,Yes,None,Varies,"Application, financial need documents",berea.edu,Financial documents,info@berea.edu,https://www.berea.edu/admissions/tuition-promise/,"Tuition, room, board, fees",Direct to institution,"Contribute $1,000/year after first year"
Breakthrough Junior Challenge,Science/Mathematics,Competition/Scholarship,"Breakthrough Prize Foundation (Elon Musk, Mark Zuckerberg, etc.)","$250,000 (Scholarship), $50,000 (Teacher Prize), $100,000 (Lab for school)",No,1 per year,"Students aged 13-18 worldwide, including Canada","No academic requirement, but STEM knowledge is needed",International,No,STEM Video Contest,Varies annually,STEM video explaining a complex topic,breakthroughjuniorchallenge.org,Video submission,info@breakthroughprize.org,https://breakthroughjuniorchallenge.org/,For educational purposes only,Direct to student,N/A
The Gates Scholarship,Leadership/Need-Based,Scholarship,Bill & Melinda Gates Foundation,"Full cost of attendance (tuition, fees, room, board, books)",No,300 per year,"Minority high school seniors, demonstrating financial need","Good academic standing, minimum GPA of 3.3",Canada/US,Yes,Leadership and Academic Excellence,15-Sep-24,"Financial documentation, academic transcript",thegatesscholarship.org,"Transcript, financial documents",info@thegatesscholarship.org,https://www.thegatesscholarship.org/scholarship,Covers full cost of college attendance,Direct to institution,N/A
Breakthrough Prize,Science/Mathematics,Prize,Breakthrough Prize Foundation,"$3,000,000",No,Several per year,"Scientists in Life Sciences, Physics, and Mathematics",PhD and postdoctoral level research required,International,No,Scientific Research,N/A,Scientific research achievements in relevant fields,breakthroughprize.org,Research documentation,info@breakthroughprize.org,https://breakthroughprize.org/,Prize to be used at recipient's discretion,Direct to recipient,N/A
